-0.527,0.378,9.816
-0.508,0.426,9.764
-0.488,0.436,9.716
-0.498,0.436,9.768
-0.503,0.441,9.759
-0.503,0.445,9.74
-0.488,0.412,9.802
-0.474,0.397,9.783
-0.421,0.441,9.802
-0.469,0.402,9.811
-0.421,0.383,9.787
-0.46,0.359,9.706
-0.431,0.373,9.84
-0.417,0.383,9.773
-0.431,0.402,9.778
-0.455,0.364,9.768
-0.436,0.426,9.783
-0.421,0.393,9.725
-0.464,0.45,9.821
-0.431,0.417,9.84
-0.522,0.407,9.783
-0.522,0.378,9.792
-0.517,0.412,9.716
-0.541,0.407,9.768
-0.522,0.393,9.768
-0.479,0.397,9.797
-0.493,0.383,9.826
-0.474,0.412,9.73
-0.508,0.445,9.744
-0.474,0.46,9.783
-0.441,0.407,9.764
-0.488,0.431,9.845
-0.479,0.441,9.749
-0.445,0.407,9.72
-0.421,0.407,9.773
-0.498,0.369,9.778
-0.484,0.388,9.802
-0.479,0.402,9.764
-0.455,0.45,9.787
-0.522,0.417,9.787
-0.431,0.464,9.72
-0.426,0.402,9.773
-0.417,0.383,9.759
-0.431,0.455,9.778
-0.46,0.445,9.783
-0.498,0.378,9.764
-0.503,0.412,9.759
-0.479,0.421,9.749
-0.503,0.46,9.778
-0.426,0.373,9.821
-0.431,0.436,9.773
-0.421,0.402,9.807
-0.469,0.402,9.787
-0.493,0.426,9.716
-0.479,0.412,9.816
-0.46,0.407,9.768
-0.46,0.436,9.792
-0.431,0.393,9.697
-0.436,0.45,9.826
-0.407,0.441,9.869
-0.373,0.441,9.816
-0.417,0.359,9.759
-0.417,0.45,9.759
-0.407,0.383,9.787
-0.484,0.393,9.72
-0.431,0.378,9.716
-0.441,0.397,9.787
-0.431,0.388,9.85
-0.441,0.436,9.749
-0.417,0.417,9.878
-0.441,0.426,9.764
-0.402,0.421,9.792
-0.417,0.455,9.764
-0.484,0.345,9.759
-0.488,0.46,9.768
-0.469,0.393,9.768
-0.479,0.388,9.759
-0.426,0.426,9.811
-0.417,0.417,9.787
-0.407,0.359,9.821
-0.46,0.407,9.835
-0.412,0.397,9.807
-0.421,0.45,9.811
-0.46,0.393,9.764
-0.493,0.426,9.73
-0.455,0.393,9.792
-0.488,0.431,9.773
-0.474,0.445,9.811
-0.393,0.407,9.84
-0.407,0.417,9.735
-0.412,0.436,9.807
-0.512,0.417,9.72
-0.431,0.397,9.807
-0.426,0.455,9.783
-0.426,0.373,9.821
-0.417,0.431,9.725
-0.393,0.436,9.816
-0.445,0.45,9.787
-0.46,0.383,9.797
-0.397,0.431,9.84
-0.441,0.378,9.787
-0.455,0.393,9.802
-0.402,0.455,9.826
-0.493,0.431,9.764
-0.378,0.33,9.792
-0.436,0.397,9.764
-0.469,0.421,9.716
-0.455,0.397,9.802
-0.426,0.407,9.744
-0.474,0.431,9.73
-0.426,0.455,9.778
-0.441,0.455,9.778
-0.455,0.397,9.768
-0.45,0.397,9.816
-0.402,0.417,9.778
-0.441,0.397,9.807
-0.431,0.402,9.821
-0.426,0.426,9.701
-0.474,0.417,9.792
-0.445,0.445,9.787
-0.498,0.421,9.797
-0.426,0.426,9.749
-0.45,0.431,9.711
-0.445,0.426,9.764
-0.464,0.441,9.725
-0.445,0.397,9.783
-0.426,0.407,9.744
-0.421,0.369,9.821
-0.46,0.431,9.773
-0.484,0.426,9.754
-0.484,0.441,9.783
-0.493,0.407,9.754
-0.474,0.431,9.764
-0.493,0.436,9.754
-0.469,0.388,9.792
-0.488,0.445,9.835
-0.46,0.421,9.768
-0.469,0.378,9.811
-0.426,0.426,9.835
-0.469,0.393,9.773
-0.46,0.393,9.85
-0.469,0.474,9.74
-0.455,0.445,9.816
-0.445,0.397,9.787
-0.479,0.393,9.792
-0.479,0.455,9.802
-0.421,0.421,9.855
-0.503,0.421,9.754
-0.436,0.464,9.831
-0.383,0.369,9.74
-0.474,0.441,9.701
-0.397,0.383,9.811
-0.532,0.383,9.816
-0.464,0.397,9.72
-0.445,0.373,9.816
-0.445,0.431,9.778
-0.445,0.426,9.792
-0.393,0.441,9.783
-0.402,0.359,9.773
-0.445,0.436,9.797
-0.431,0.464,9.759
-0.455,0.431,9.773
-0.417,0.35,9.787
-0.455,0.407,9.73
-0.455,0.35,9.778
-0.431,0.397,9.735
-0.469,0.402,9.744
-0.455,0.402,9.826
-0.431,0.388,9.744
-0.479,0.431,9.811
-0.445,0.402,9.749
-0.493,0.388,9.835
-0.45,0.407,9.735
-0.464,0.402,9.73
-0.464,0.417,9.74
-0.474,0.46,9.831
-0.484,0.373,9.778
-0.532,0.431,9.811
-0.479,0.397,9.859
-0.493,0.412,9.74
-0.493,0.417,9.735
-0.469,0.407,9.73
-0.464,0.441,9.759
-0.508,0.436,9.807
-0.388,0.431,9.816
-0.517,0.45,9.768
-0.46,0.488,9.835
-0.469,0.45,9.811
-0.431,0.378,9.74
-0.445,0.383,9.783
-0.436,0.431,9.778
-0.421,0.369,9.744
-0.421,0.412,9.74
-0.45,0.345,9.778
-0.479,0.421,9.768
-0.412,0.412,9.826
-0.503,0.393,9.783
-0.46,0.402,9.792
-0.426,0.479,9.754
-0.421,0.431,9.72
-0.445,0.45,9.811
-0.393,0.417,9.811
-0.455,0.402,9.864
-0.464,0.441,9.744
-0.412,0.445,9.768
-0.431,0.45,9.821
-0.412,0.397,9.716
-0.45,0.393,9.787
-0.426,0.421,9.72
-0.407,0.441,9.744
-0.431,0.426,9.802
-0.455,0.45,9.826
-0.488,0.426,9.797
-0.46,0.445,9.797
-0.441,0.383,9.706
-0.455,0.388,9.787
-0.493,0.445,9.74
-0.479,0.373,9.797
-0.426,0.383,9.749
-0.46,0.426,9.749
-0.412,0.393,9.778
-0.421,0.402,9.845
-0.484,0.417,9.802
-0.397,0.345,9.773
-0.407,0.393,9.792
-0.488,0.393,9.797
-0.378,0.417,9.687
-0.373,0.369,9.922
-0.508,0.493,9.773
-0.378,0.455,9.706
-0.445,0.383,9.783
